code,name,type,abbr,full
000001,华夏成长混合,混合型-灵活,HXCZHH,HUAXIACHENGZHANGHUNHE
000002,华夏成长混合(后端),混合型-灵活,HXCZHH,HUAXIACHENGZHANGHUNHE
000003,中海可转债债券A,债券型-混合二级,ZHKZZZQA,ZHONGHAIKEZHUANZHAIZHAIQUANA
000004,中海可转债债券C,债券型-混合二级,ZHKZZZQC,ZHONGHAIKEZHUANZHAIZHAIQUANC
000005,嘉实增强信用定期债券,债券型-长债,JSZQXYDQZQ,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
000006,西部利得量化成长混合A,混合型-偏股,XBLDLHCZHHA,XIBULIDELIANGHUACHENGZHANGHUNHEA
000008,嘉实中证500ETF联接A,指数型-股票,JSZZ500ETFLJA,JIASHIZHONGZHENG500ETFLIANJIEA
000009,易方达天天理财货币A,货币型-普通货币,YFDTTLCHBA,YIFANGDATIANTIANLICAIHUOBIA
000010,易方达天天理财货币B,货币型-普通货币,YFDTTLCHBB,YIFANGDATIANTIANLICAIHUOBIB
000011,华夏大盘精选混合A,混合型-灵活,HXDPJXHHA,HUAXIADAPANJINGXUANHUNHEA
000012,华夏大盘精选混合A(后端),混合型-灵活,HXDPJXHHA,HUAXIADAPANJINGXUANHUNHEA
000013,易方达天天理财货币R,货币型-普通货币,YFDTTLCHBR,YIFANGDATIANTIANLICAIHUOBIR
000014,华夏聚利债券A,债券型-混合一级,HXJLZQA,HUAXIAJULIZHAIQUANA
000015,华夏纯债债券A,债券型-长债,HXCZZQA,HUAXIACHUNZHAIZHAIQUANA
000016,华夏纯债债券C,债券型-长债,HXCZZQC,HUAXIACHUNZHAIZHAIQUANC
000017,财通可持续混合,混合型-偏股,CTKCXHH,CAITONGKECHIXUHUNHE
000020,景顺长城品质投资混合A,混合型-偏股,JSCCPZTZHHA,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA
000021,华夏优势增长混合,混合型-偏股,HXYSZZHH,HUAXIAYOUSHIZENGZHANGHUNHE
000024,大摩双利增强债券A,债券型-长债,DMSLZQZQA,DAMOSHUANGLIZENGQIANGZHAIQUANA
000025,大摩双利增强债券C,债券型-长债,DMSLZQZQC,DAMOSHUANGLIZENGQIANGZHAIQUANC
000028,华富安鑫债券,债券型-混合二级,HFAXZQ,HUAFUANXINZHAIQUAN
000029,富国宏观策略灵活配置混合A,混合型-灵活,FGHGCLLHPZHHA,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
000030,长城核心优选混合A,混合型-灵活,CCHXYXHHA,CHANGCHENGHEXINYOUXUANHUNHEA
000031,华夏复兴混合A,混合型-偏股,HXFXHHA,HUAXIAFUXINGHUNHEA
000032,易方达信用债债券A,债券型-长债,YFDXYZZQA,YIFANGDAXINYONGZHAIZHAIQUANA
000033,易方达信用债债券C,债券型-长债,YFDXYZZQC,YIFANGDAXINYONGZHAIZHAIQUANC
000037,广发景宁债券A,债券型-长债,GFJNZQA,GUANGFAJINGNINGZHAIQUANA
000039,农银高增长混合,混合型-偏股,NYGZZHH,NONGYINGAOZENGZHANGHUNHE
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,HXQQGPQDIIRMB,HUAXIAQUANQIUGUPIAOQDIIRENMINBI
000042,财通中证ESG100指数增强A,指数型-股票,CTZZESG100ZSZQA,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA
000043,嘉实美国成长股票人民币,QDII-普通股票,JSMGCZGPRMB,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
000044,嘉实美国成长股票美元现汇,QDII-普通股票,JSMGCZGPMYXH,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI
000045,工银产业债债券A,债券型-混合二级,GYCYZZQA,GONGYINCHANYEZHAIZHAIQUANA
000046,工银产业债债券B,债券型-混合二级,GYCYZZQB,GONGYINCHANYEZHAIZHAIQUANB
000047,华夏双债债券A,债券型-混合一级,HXSZZQA,HUAXIASHUANGZHAIZHAIQUANA
